Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,51.724998,51.740002,47.744999,49.549999,49.436710,6342600
2021-01-05,49.310001,50.875000,49.090000,50.305000,50.189980,3365200
2021-01-06,50.200001,53.450001,49.915001,52.450001,52.330078,5068600
2021-01-07,53.255001,54.375000,52.865002,53.570000,53.447517,3340200
2021-01-08,53.980000,54.080002,52.299999,53.875000,53.751823,3923600
2021-01-11,52.549999,53.845001,52.525002,53.419998,53.297859,2761200
2021-01-12,53.450001,53.935001,52.770000,53.705002,53.582214,2045800
2021-01-13,53.660000,54.130001,53.294998,53.685001,53.562260,2126600
2021-01-14,54.125000,54.500000,53.270000,53.345001,53.223034,2313800
2021-01-15,52.375000,53.025002,51.340000,52.404999,52.285183,3786600
2021-01-19,53.535000,53.744999,52.660000,52.970001,52.848892,2123000
2021-01-20,53.590000,54.555000,53.340000,54.279999,54.155895,2511400
2021-01-21,54.410000,54.750000,53.959999,54.310001,54.185829,2173200
2021-01-22,53.255001,53.865002,52.869999,53.320000,53.198090,2169400
2021-01-25,52.825001,53.200001,51.075001,53.200001,53.078365,4671000
2021-01-26,53.619999,53.919998,52.939999,53.029999,52.908752,1994400
2021-01-27,51.555000,51.605000,49.250000,49.880001,49.765957,4465200
2021-01-28,50.705002,52.875000,50.639999,51.189999,51.072960,3982200
2021-01-29,50.154999,50.590000,47.470001,48.049999,47.940140,5827200
2021-02-01,49.270000,49.790001,48.235001,49.180000,49.067554,3186200
2021-02-02,50.375000,52.255001,50.369999,51.535000,51.417171,2700400
2021-02-03,51.110001,52.049999,50.680000,51.669998,51.551857,2171800
2021-02-04,52.000000,53.424999,51.974998,53.369999,53.247974,1881000
2021-02-05,54.270000,54.400002,53.509998,53.825001,53.701939,1908000
2021-02-08,54.455002,55.049999,54.325001,55.049999,54.924137,1668400
2021-02-09,54.744999,55.400002,54.375000,55.134998,55.008938,1447200
2021-02-10,55.764999,55.790001,54.250000,55.395000,55.268349,1705200
2021-02-11,55.695000,56.070000,54.480000,55.455002,55.328209,2156600
2021-02-12,55.275002,55.735001,55.040001,55.665001,55.537727,1225400
2021-02-16,56.349998,56.459999,55.580002,55.935001,55.807110,1760600
2021-02-17,55.450001,56.665001,55.075001,56.555000,56.425690,2001000
2021-02-18,55.494999,56.169998,54.775002,55.939999,55.812096,2104600
2021-02-19,56.290001,56.680000,55.744999,55.880001,55.752239,1618600
2021-02-22,54.820000,56.735001,54.764999,56.105000,55.976723,2181600
2021-02-23,55.834999,56.759998,54.160000,56.169998,56.041569,3939200
2021-02-24,55.770000,58.650002,55.525002,58.395000,58.261486,2882400
2021-02-25,58.465000,58.584999,54.790001,55.314999,55.188526,5093600
2021-02-26,55.560001,55.560001,52.820000,52.930000,52.808979,4556400
2021-03-01,54.985001,56.755001,54.985001,56.084999,55.956764,3387400
2021-03-02,56.165001,56.525002,55.224998,55.360001,55.233425,2444800
